,artist_name,track_name,track_id,popularity
408,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,90
409,Juice WRLD,Life's A Mess (feat. Halsey),4h5N4KyWZMtpeH9vhXSXjd,88
410,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,90
411,Juice WRLD,Righteous,615vw74T1NebV8pKoutm2J,87
412,Juice WRLD,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,86
413,Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,87
414,Lil Baby,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,86
415,Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,86
416,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,88
417,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,86
418,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,86
419,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,86
420,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,89
421,The Kid LAROI,GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,87
422,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,92
423,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,85
424,Juice WRLD,Titanic,1QoG0Yqz1onMsdbOibZVke,85
425,Taylor Swift,seven,6KJqZcs9XDgVck7Lg9QOTC,85
426,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,90
427,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,85
428,Juice WRLD,Bad Energy,0JoWBcL61YWLXM5vW0YTHO,85
429,Juice WRLD,Stay High,1AnkdcHl86kEhDvhaKDuIe,85
430,Taylor Swift,this is me trying,7kt9e9LFSpN1zQtYEl19o1,85
431,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,93
432,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,85
433,Juice WRLD,Up Up And Away,5lcIegmdblnWqT9nS9EhZj,85
434,Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,84
435,Lady Gaga,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,92
436,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,85
437,Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,91
438,Taylor Swift,mad woman,2QDyYdZyhlP2fp79KZX8Bi,84
439,Juice WRLD,Man Of The Year,1uA914Md6wsy9NDryyBypH,84
440,Juice WRLD,Fighting Demons,0jo6Nd4iJU0UFHqS0Xd4l4,84
441,Juice WRLD,Tell Me U Luv Me (with Trippie Redd),7iIzwqG5UxPYwTYUUK4pzU,84
442,Taylor Swift,epiphany,08fa9LFcFBTcilB3iq2e2A,83
443,Jawsh 685,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,96
444,Taylor Swift,peace,7MbT4I8qGntX4fMdqMQgke,83
445,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,88
446,6ix9ine,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,91
447,Juice WRLD,Screw Juice,2XSO13Gyndo7MDdtYibIxO,84
448,Juice WRLD,Can't Die,6DuHcOuuGWXNvF3uocsrBa,84
449,Taylor Swift,hoax,6MWoRt97mnSTXZhu3ggi9C,82
450,Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,90
451,Taylor Swift,the 1,0Jlcvv8IykzHaSmj49uNW8,88
452,Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,89
453,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,89
454,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,95
455,Rod Wave,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,87
456,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,89
457,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,90
458,Juice WRLD,Life's A Mess (feat. Halsey),4h5N4KyWZMtpeH9vhXSXjd,88
459,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,90
460,Juice WRLD,Righteous,615vw74T1NebV8pKoutm2J,87
461,Juice WRLD,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,86
462,Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,87
463,Lil Baby,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,86
464,Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,86
