,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5477,spotify:track:5MPPttjfGap2C6j6eKcO6J,34,Baby (Lil Baby feat. DaBaby),8/16/2019,76,TRUE,0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,142417
5478,spotify:track:6In6SkveIw26thdYRhHTVX,50,Bacc Seat (feat. Ty Dolla $ign),12/6/2019,75,TRUE,0.783,0.524,1,-6.828,1,0.115,0.0404,0,0.087,0.153,144.989,172320
5479,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,399,THE SCOTTS,4/24/2020,92,TRUE,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978
5480,spotify:track:1ZRjLZcNTm1vUgrexBp3px,23,All In,4/23/2020,68,TRUE,0.836,0.649,11,-6.442,1,0.332,0.0716,0,0.0943,0.294,95.084,156032
5482,spotify:track:7wcyO1rrH3Ru4t659IjG41,11,Crushed Up,1/18/2019,64,TRUE,0.781,0.597,10,-6.794,0,0.23,0.0415,0,0.152,0.544,158.043,149949
5484,spotify:track:49zD0wr2S3d0lZPib0K4e1,12,F*ck Up Some Commas,7/17/2015,67,TRUE,0.874,0.568,11,-5.896,0,0.224,0.0698,1.38E-05,0.149,0.46,139.995,237400
5487,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,91,Going Bad (feat. Drake),11/30/2018,82,TRUE,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522
5488,spotify:track:42zd6DYQ4o4SECmTITrM1U,29,Dreams and Nightmares,10/26/2012,71,TRUE,0.631,0.774,11,-2.459,1,0.3,0.468,0,0.281,0.44,79.745,230693
5491,spotify:track:02RCbjb9czvQKNGBmEmWob,38,Woah,2/28/2020,73,TRUE,0.883,0.599,11,-5.551,1,0.248,0.0177,0,0.179,0.413,142.976,183011
5492,spotify:track:1SGt65i9AnXYdDQt1AtDRH,22,3500 (feat. Future & 2 Chainz),9/4/2015,68,TRUE,0.773,0.595,8,-6.062,0,0.161,0.114,2.47E-06,0.13,0.338,123.968,461840
5493,spotify:track:7eYAHC0RbBF9eaqWzT34Aq,85,Desires (with Future),5/1/2020,74,TRUE,0.812,0.506,5,-7.706,0,0.116,0.281,0,0.325,0.554,145.074,237946
5494,spotify:track:5fHrHoJKfCgBd35zwIBmUK,87,D4L,5/1/2020,75,TRUE,0.718,0.706,1,-5.709,1,0.06,0.0128,0,0.352,0.815,170.004,189176
5495,spotify:track:6fLVTVaHWaEfVKfEgbkf4D,36,Losses,5/1/2020,67,TRUE,0.551,0.57,1,-7.385,0,0.351,0.28,0,0.424,0.505,85.687,271184
5498,spotify:track:5wMh9hhqKQ4JfqLuvqAC7s,41,Cold,5/1/2020,76,TRUE,0.881,0.785,2,-5.4,1,0.102,0.0121,0,0.0849,0.178,105.972,219465
5499,spotify:track:05aZ9sAU1YXndHv0FMi9iW,70,Demons (feat. Fivio Foreign & Sosa Geek),5/1/2020,74,TRUE,0.543,0.766,0,-3.387,0,0.343,0.423,0,0.155,0.729,106.869,204805
5500,spotify:track:0YkUwXxnTkeJBvt5upeEtP,48,From Florida With Love,5/1/2020,70,TRUE,0.787,0.477,6,-7.837,0,0.199,0.768,0,0.104,0.476,80.506,234783
5501,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,223,Chicago Freestyle (feat. Giveon),5/1/2020,88,TRUE,0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947,220488
5503,spotify:track:3hsmbFKT5Cujb5GQjqEU39,13,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),3/22/2011,72,TRUE,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51E-06,0.144,0.538,146.155,222587
5505,spotify:track:6MO2bfLHKykUgCChFdw91H,58,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",1/17/2020,76,FALSE,0.815,0.513,1,-8.363,1,0.244,0.0145,0.000102,0.14,0.17,96.982,296011
5510,spotify:track:4S2uhQE8L9V6p7rj7SiauJ,116,Suicidal (Remix) [feat. Juice WRLD],3/13/2020,83,TRUE,0.655,0.441,9,-5.245,0,0.0629,0.474,0,0.099,0.273,139.957,225857
5517,spotify:track:6ZelF5APDN5r6XnFqcnvWR,30,Give No Fxk,2/14/2020,70,TRUE,0.904,0.627,1,-5.608,1,0.222,0.0303,5.68E-06,0.0923,0.236,145.976,224243
5519,spotify:track:7rSnKi58HPIVC0FVyh04Q1,42,Shake The Room (feat. Quavo),2/7/2020,75,TRUE,0.733,0.684,2,-4.748,1,0.177,0.142,0,0.179,0.437,142.04,165640
5520,spotify:track:0oH0OIeKJSAT5bdFkbz20A,46,Havin My Way (feat. Lil Durk),3/4/2020,76,TRUE,0.802,0.737,6,-4.862,0,0.0757,0.275,0,0.113,0.712,127.014,211654
5522,spotify:track:127QTOFJsJQp5LbJbu3A1y,482,Toosie Slide,4/3/2020,92,TRUE,0.834,0.454,1,-9.75,0,0.201,0.321,6.15E-06,0.114,0.837,81.618,247059
5523,spotify:track:6TooMkzB9xE9FM9qxuEQeX,20,Missed You - Bonus Track,4/3/2020,32,TRUE,0.716,0.364,5,-9.648,0,0.0866,0.107,9.23E-05,0.113,0.448,151.968,144540
5526,spotify:track:6UHfW9PmGAUjIVeIkPzPQ2,38,Only The Team (with Lil Mosey & Lil Tjay),3/11/2020,75,TRUE,0.764,0.774,5,-2.871,0,0.202,0.0178,0,0.113,0.597,149.952,168980
5527,spotify:track:1RrQK0BIyxZaOooNDVSEaZ,39,Social Distancing,5/1/2020,69,TRUE,0.849,0.64,5,-5.15,1,0.196,0.0471,0,0.321,0.36,126.005,137826
5528,spotify:track:2AEtYwT9qg2eY6G9m8wOxW,20,My Business (feat. Future),5/8/2020,63,TRUE,0.853,0.881,1,-4.949,1,0.178,0.0809,0,0.141,0.922,139.979,199105
5529,spotify:track:6KhmSJf9FvdAcq1tr8LcYD,14,Status (feat. Lil Uzi Vert),5/8/2020,63,TRUE,0.951,0.72,6,-4.467,1,0.302,0.0406,0,0.0998,0.687,134.033,174367
5530,spotify:track:6LUE5WlMgrpLouGxzJAUVv,30,Run It Up (feat. Pop Smoke),5/8/2020,68,TRUE,0.874,0.656,7,-6.478,0,0.091,0.585,0,0.251,0.561,134.022,179372
5532,spotify:track:2h4cmbyb6S7e8igDZIITJU,30,3 Headed Goat (feat. Lil Baby & Polo G),5/8/2020,76,TRUE,0.837,0.482,8,-8.608,0,0.365,0.268,0,0.0991,0.444,143.01,169532
5533,spotify:track:37WQ7WJ6FpU0qw4CLNn3Qj,11,Gucci Gucci (feat. Gunna),5/8/2020,60,TRUE,0.87,0.668,11,-5.898,0,0.15,0.25,0,0.113,0.41,82.524,168727
5536,spotify:track:568OIKgeHyGRD3uWR44JbO,58,Racks 2 Skinny,5/11/2020,76,TRUE,0.814,0.584,1,-5.425,1,0.0819,0.00839,0,0.0646,0.405,141.016,178025
5537,spotify:track:0fIffclhgJC5h8AdMMVvkp,34,Welcome To The Party,7/26/2019,76,TRUE,0.637,0.723,2,-5.547,1,0.091,0.0134,7.87E-05,0.196,0.228,143.013,214960
5538,spotify:track:2QqJTIlGKRLJC3onkavYEz,80,Flex (feat. Juice WRLD),5/15/2020,86,TRUE,0.752,0.673,10,-5.792,0,0.153,0.0538,0,0.133,0.35,164.009,163902
5539,spotify:track:5v1STk4ZTTDrhgCs6LD3nd,20,HiTek Tek,5/15/2020,64,TRUE,0.873,0.591,2,-7.332,1,0.293,0.00102,0,0.13,0.188,150.057,182400
5540,spotify:track:4kfeRwpq5KUaqTkgi4TbDF,119,Solitaires (feat. Travis Scott),5/15/2020,82,TRUE,0.691,0.632,1,-7.598,1,0.0513,0.122,0,0.0646,0.488,169.982,205666
5541,spotify:track:021lWIHJrURZrmvYQ1xcM8,57,All Bad (feat. Lil Uzi Vert),5/15/2020,72,TRUE,0.931,0.667,6,-7.043,0,0.318,0.0144,0,0.15,0.667,142.039,207739
5542,spotify:track:0biVzpdI2z0vAxwfU9xuuA,25,Too Comfortable,5/15/2020,69,TRUE,0.935,0.472,3,-9.304,0,0.0575,0.0455,0,0.19,0.659,130.041,236819
5543,spotify:track:66z5CuZkqkb18VhFTRwbZk,19,Hard To Choose One,5/15/2020,66,TRUE,0.884,0.436,10,-9.922,1,0.255,0.011,0,0.101,0.254,119.013,193657
5544,spotify:track:6gxKUmycQX7uyMwJcweFjp,81,We Paid (feat. 42 Dugg),5/1/2020,87,TRUE,0.926,0.542,1,-5.064,1,0.293,0.135,0,0.0877,0.564,135.14,181929
5545,spotify:track:3tDqEKKUs6gf8zMvSuLyLA,59,Commercial (feat. Lil Uzi Vert),2/28/2020,74,TRUE,0.892,0.486,11,-8.637,0,0.384,0.048,0,0.146,0.535,120.998,214215
5546,spotify:track:6HY3arOe4dD8UQ0oVDJ18E,30,WUNNA,5/18/2020,74,TRUE,0.889,0.455,0,-9,1,0.256,0.0216,0.00456,0.11,0.299,148.004,158240
5549,spotify:track:3SGgeDQ3cAuNSFb03PjXtv,22,ADDYS (feat. Nechie),5/22/2020,65,TRUE,0.883,0.631,11,-8.925,1,0.27,0.0275,0.00715,0.105,0.378,150.015,179373
5550,spotify:track:02mYw61RoS1vXvkD9Q5dpN,27,BLINDFOLD (feat. Lil Baby),5/22/2020,71,TRUE,0.889,0.507,2,-8.74,1,0.162,0.0562,0,0.116,0.219,111.994,154667
5551,spotify:track:5LHHKZOwV8XW4LJP2C64mw,74,COOLER THAN A BITCH (feat. Roddy Ricch),5/22/2020,80,TRUE,0.837,0.586,11,-8.521,0,0.0807,0.281,0,0.134,0.618,117.066,197000
5552,spotify:track:4YhJ3a6kBPGJWX4Ek77sDd,61,TOP FLOOR (feat. Travis Scott),5/22/2020,75,TRUE,0.823,0.504,8,-8.65,0,0.16,0.206,0,0.417,0.481,112.985,169907
5553,spotify:track:2f8y4CuG57UJEmkG3ujd0D,26,NASTY GIRL / ON CAMERA,5/22/2020,72,TRUE,0.598,0.472,0,-10.991,1,0.258,0.204,1.54E-05,0.108,0.522,120.08,230600
5560,spotify:track:1sxGIhaxY8eF52e1TlShSP,14,Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),5/29/2020,63,TRUE,0.887,0.597,6,-6.66,0,0.281,0.0704,0,0.178,0.477,129.976,178901
5561,spotify:track:2u3EyuCqqV31woqGvO9LBz,31,Sum 2 Prove,1/10/2020,76,TRUE,0.823,0.552,4,-7.57,0,0.324,0.0174,0,0.122,0.418,124.038,205760
5562,spotify:track:34xlXbZ4Ws3GGpUKeimDu5,12,Both Sides (feat. Lil Baby),5/29/2020,66,TRUE,0.844,0.616,1,-5.2,1,0.161,0.0084,0,0.121,0.188,160.024,180753
5565,spotify:track:1fPnUpoXCpD2NDI4vPVeLw,64,Stupid Again,4/10/2020,73,TRUE,0.775,0.823,5,-4.941,0,0.0635,0.0881,0,0.309,0.65,120.059,174848
5566,spotify:track:4Hqh0dS4x07zuRw6eBTO7p,18,20/20,1/1/2020,72,TRUE,0.886,0.336,4,-12.779,1,0.239,0.557,0,0.0933,0.536,100.044,230448
5567,spotify:track:792HwhrdO3ErRKL5yRe4Ge,19,Invincible,2/7/2020,74,TRUE,0.548,0.732,11,-5.652,0,0.336,0.125,0,0.269,0.612,142.791,127547
5568,spotify:track:7uDTc1eJwsD7iMZLhdp8LH,33,Who Needs Love,4/10/2020,74,TRUE,0.76,0.674,7,-7.043,1,0.129,0.0462,0,0.22,0.431,101.987,173870
5569,spotify:track:6mtjo5kIHKlboGE84lf1FJ,51,Need It,5/22/2020,79,TRUE,0.852,0.745,11,-3.667,0,0.171,0.0313,0,0.0824,0.897,148.007,195681
5570,spotify:track:44gRhRi2OhEf7moAUj6MD1,85,The Bigger Picture,6/12/2020,86,TRUE,0.59,0.618,1,-5.756,1,0.334,0.0127,0,0.244,0.153,96.459,252729
5571,spotify:track:6heRfvHrUIIPx9TqRg8SCq,10,Humble,5/1/2020,66,TRUE,0.554,0.614,5,-5.715,1,0.44,0.17,0,0.267,0.372,80.028,191583
5573,spotify:track:0ROE31C8Wu4neZoR9stM9e,24,Sasuke,4/24/2020,69,TRUE,0.859,0.477,1,-6.116,1,0.428,0.00414,0,0.0819,0.153,145.979,251336
5575,spotify:track:1orjH4IkSH9VrWmRCToKV8,30,Shotta Flow 5,6/12/2020,81,TRUE,0.806,0.749,1,-5.268,1,0.328,0.0838,0,0.0621,0.77,140.032,145167
5576,spotify:track:6RgeSW6ECn5UIj4MDlwrTp,11,Me Vs Me,5/8/2020,38,TRUE,0.853,0.83,5,-4.519,0,0.2,0.193,0,0.296,0.612,131.004,183934
5579,spotify:track:6piAUJJQFD8oHDUr0b7l7q,43,VALENTINO,11/22/2019,78,TRUE,0.747,0.717,9,-4.841,0,0.179,0.199,0,0.132,0.523,150.965,179133
5581,spotify:track:3calQ6T24KiVOWlRKr7rfl,21,Bleed,6/16/2020,62,TRUE,0.698,0.572,2,-7.735,1,0.198,0.135,0,0.154,0.391,71.446,176959
5585,spotify:track:2jZx9wy7JVYYF2Yxe6fUNl,14,Lions & Eagles (feat. Meek Mill),6/19/2020,68,TRUE,0.786,0.739,1,-3.51,1,0.286,0.34,0,0.18,0.297,96.075,150674
5589,spotify:track:6OaVWaGfhXn70ZJfdVcabn,52,NO BYSTANDERS,8/3/2018,76,TRUE,0.731,0.811,1,-3.225,1,0.0712,0.0204,0,0.411,0.426,147.045,218284
5590,spotify:track:5egD7A5x9AHdVO2fMo3Wbo,39,Silly Watch,3/6/2020,71,TRUE,0.903,0.535,8,-6.238,1,0.286,0.0298,0,0.0851,0.157,130.117,195692
5598,spotify:track:45npF3MKvCa1sO7s4y7qBf,18,Said Sum,6/30/2020,76,TRUE,0.929,0.667,8,-6.789,0,0.353,0.0185,0,0.1,0.274,126.998,155168
5599,spotify:track:1H7KnK26kc1YyellpbINEn,123,The Woo (feat. 50 Cent & Roddy Ricch),7/3/2020,90,TRUE,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77E-06,0.259,0.286,99.7,201600
5600,spotify:track:7sjFIZ1g5QLJLGja3k592K,32,44 BullDog,7/3/2020,80,TRUE,0.8,0.564,8,-5.817,1,0.4,0.0287,1.65E-06,0.112,0.318,139.989,150857
5601,spotify:track:1JDhNQ0oOT7XpclZn3aQ8F,41,West Coast Shit (feat. Tyga & Quavo),7/3/2020,77,TRUE,0.831,0.762,11,-5.656,0,0.207,0.0885,0,0.107,0.495,99.999,192000
5603,spotify:track:4IowQDUOzUvNtp72HMDcKO,28,Love Sosa,1/1/2012,72,TRUE,0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,246213
5605,spotify:track:35RJhm1pEovTBwnNR0zWad,131,GREECE (feat. Drake),7/16/2020,88,TRUE,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04E-06,0.107,0.229,85.84,218902
5606,spotify:track:6EDO9iiTtwNv6waLwa1UUq,157,POPSTAR (feat. Drake),7/17/2020,90,TRUE,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,200221
5607,spotify:track:4HVHkQvGnpQ514WPHPE67Q,19,Staccato,7/10/2020,75,TRUE,0.579,0.662,1,-5.744,0,0.182,0.00967,0,0.13,0.234,105.208,156560
5608,spotify:track:0PvFJmanyNQMseIFrU708S,121,For The Night (feat. Lil Baby & DaBaby),7/3/2020,89,TRUE,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,190476
5609,spotify:track:1hg3RlqFZXJb5YgRoK9qmF,36,Gangstas,7/3/2020,82,TRUE,0.548,0.506,4,-7.434,0,0.102,0.203,0.0001,0.0788,0.557,119.987,160000
5610,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,61,Emotionally Scarred,2/28/2020,82,TRUE,0.585,0.641,6,-4.269,0,0.133,0.0286,0,0.316,0.266,88.284,197530
5612,spotify:track:2r6OAV3WsYtXuXjvJ1lIDi,30,Hello (feat. A Boogie Wit da Hoodie),7/20/2020,75,TRUE,0.905,0.647,10,-5.065,0,0.107,0.0187,0,0.282,0.367,130.97,190534
5614,spotify:track:3pjzb1lnMOJbWbghMGSp23,14,STREET SWEEPER (feat. Future),7/24/2020,67,TRUE,0.788,0.443,1,-9.021,1,0.341,0.107,0,0.115,0.221,126.071,192400
5615,spotify:track:60XGm1Hmyx7UliCAYjiCd8,13,ONE WATCH (feat. Young Thug),7/24/2020,68,TRUE,0.857,0.511,0,-8.197,1,0.0881,0.00064,1.11E-06,0.11,0.336,163.048,235920
5617,spotify:track:66FgjA5ZQJJuypFG1bc8se,82,Hate The Other Side (with Marshmello & The Kid Laroi),7/10/2020,89,TRUE,0.701,0.65,6,-6.313,1,0.104,0.291,0,0.112,0.647,90.003,160212
5690,spotify:track:23L5CiUhw2jV1OIMwthR3S,41,In the Name of Love,7/29/2016,79,FALSE,0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,195707
5691,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,51,Roses (feat. ROZES),6/16/2015,73,FALSE,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
5694,spotify:track:2CPqh63wRVscbceKcPxwvv,28,The Ocean (feat. Shy Martin),4/15/2016,74,FALSE,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81E-06,0.104,0.188,90.037,183414
5695,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,110,Closer,7/29/2016,84,FALSE,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
5696,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,15,Cold Water (feat. Justin Bieber & MØ),7/22/2016,2,FALSE,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185352
5697,spotify:track:6jA8HL9i4QGzsj6fjoxp8Y,27,There for You,5/26/2017,72,FALSE,0.611,0.644,6,-7.607,0,0.0553,0.124,0,0.124,0.13,105.969,221904
5698,spotify:track:4rwqrKdwlFWJ6LvPYaOtgn,15,Quit (feat. Ariana Grande),4/28/2017,68,TRUE,0.44,0.413,0,-7.365,0,0.0407,0.105,3.40E-05,0.0997,0.141,86.911,258188
5699,spotify:track:3A7qX2QjDlPnazUsRk5y0M,11,2U (feat. Justin Bieber),6/9/2017,70,FALSE,0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.225,0.557,144.937,194897
5701,spotify:track:5JCi3pyggvk4B0yd0BK3ow,11,Stay High - Habits Remix,9/24/2014,70,FALSE,0.736,0.677,4,-7.036,0,0.0352,0.00114,0.844,0.0949,0.0747,121.01,258387
5703,spotify:track:66hayvUbTotekKU3H4ta1f,35,Where Are Ü Now (with Justin Bieber),2/24/2015,74,FALSE,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21E-06,0.0789,0.197,139.432,250286
5718,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,27,Wake Me Up - Radio Edit,1/1/2013,4,FALSE,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
5722,spotify:track:7vGuf3Y35N4wmASOKLUVVU,63,Silence,8/11/2017,80,FALSE,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823
5725,spotify:track:3eR23VReFzcdmS7TYCrhCe,30,It Ain't Me (with Selena Gomez),2/16/2017,77,FALSE,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781
5726,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,59,In My Mind,6/8/2018,83,FALSE,0.694,0.77,6,-5.335,1,0.149,0.176,1.10E-05,0.118,0.163,125.905,184560
5732,spotify:track:3DGar7krWlmrXRFHBcQF6z,15,Whenever (feat. Conor Maynard),6/22/2018,72,TRUE,0.734,0.765,7,-5.562,1,0.0621,0.151,0,0.231,0.518,109.989,163636
5736,spotify:track:3Kuu5vASpXK8oRsxOvau6P,20,Think About You,2/14/2019,67,FALSE,0.673,0.596,10,-7.891,1,0.0354,0.166,0,0.11,0.19,123.969,208567
5740,spotify:track:2dpaYNEQHiRxtZbfNsse99,125,Happier,8/17/2018,86,FALSE,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290
5741,spotify:track:4B2kkxg3wKSTZw5JPaUtzQ,10,On & On,7/9/2015,73,FALSE,0.458,0.696,11,-4.742,1,0.0402,0.285,0,0.123,0.418,174.141,207069
5757,spotify:track:2xyIwHKujL7tSgkK2Waj2s,16,All Around The World (La La La),4/5/2019,63,FALSE,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840
5761,spotify:track:7sYAS4CpbV90oSemgaEQat,23,On & On,11/22/2019,75,FALSE,0.747,0.776,10,-5.898,0,0.0722,0.0233,1.38E-05,0.761,0.67,125.07,147027
5763,spotify:track:56Z3lLPTcozYkoAl9HsQLI,19,Astronomia 2K19 - Radio Edit,5/9/2019,69,FALSE,0.666,0.69,6,-4.952,0,0.219,0.000569,0.857,0.194,0.546,126.17,190486
5764,spotify:track:61ZM92T2zaXIVsqncThQzC,88,In Your Eyes (feat. Alida),1/10/2020,84,FALSE,0.57,0.672,8,-5.89,0,0.0723,0.177,0,0.0768,0.448,120.019,208222
5767,spotify:track:0FLwo3U1NrjocfK2FDisrX,20,Don't Cry For Me (with Jason Derulo),7/10/2020,74,FALSE,0.69,0.587,1,-6.53,0,0.0466,0.105,0,0.102,0.278,104.046,155769
5769,spotify:track:0WE8YTl6GAVHnkfvMfci98,10,Drinkee,10/2/2015,53,FALSE,0.773,0.663,2,-8.101,1,0.0496,0.0557,0.61,0.229,0.324,115.002,297507
5773,spotify:track:2PtBhfoPZ6VYtXkrE5FrCH,17,Reflections,2/24/2015,63,FALSE,0.683,0.675,2,-5.461,1,0.0292,0.0223,0.0187,0.101,0.6,111.008,186440
5775,spotify:track:1z1XegUChLLQfcbtIK8ABn,28,Body Back (feat. Maia Wright),10/18/2019,76,FALSE,0.686,0.83,8,-4.437,1,0.0369,0.0948,1.33E-06,0.182,0.486,123.032,214634
5776,spotify:track:0qc4QlcCxVTGyShurEv1UU,52,Post Malone (feat. RANI),5/24/2019,81,FALSE,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444
5778,spotify:track:0vBpyfpW2lARGh3AZFtWRi,12,Heads Will Roll - A-Trak Remix Radio Edit,2009,55,FALSE,0.671,0.805,8,-3.232,0,0.081,0.0134,0.0547,0.237,0.866,132.051,203920
5779,spotify:track:6u8MYoxXvAHNR0enhdUqgd,26,WESTWORLD,3/6/2018,61,FALSE,0.713,0.666,11,-6.128,1,0.0511,0.2,2.09E-05,0.137,0.277,112.015,209224
5780,spotify:track:455AfCsOhhLPRc68sE01D8,41,Last Friday Night (T.G.I.F.),3/12/2012,75,FALSE,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31E-05,0.671,0.765,126.03,230747
5785,spotify:track:6HTJZ0TQJVMSKkUGzAOe2h,31,Old Thing Back (feat. Ja Rule and Ralph Tresvant),2/17/2015,70,TRUE,0.805,0.858,0,-3.067,1,0.105,0.194,7.89E-06,0.256,0.523,97.033,321649
5788,spotify:track:42TrdbXsmLybxUGJczYbrJ,15,Classic (feat. POWERS),3/4/2016,57,FALSE,0.631,0.94,2,-3.52,1,0.049,0.00464,0.000805,0.324,0.552,101.961,248507
5789,spotify:track:00s8dO3RWrFkBqC9JIy6ag,17,Right Back Where We Started From,6/14/2019,65,FALSE,0.692,0.653,5,-5.715,1,0.0392,0.49,0.00707,0.455,0.901,148.018,192267
5790,spotify:track:4o6BgsqLIBViaGVbx5rbRk,71,You Make My Dreams (Come True),1980,78,FALSE,0.75,0.501,5,-12.151,1,0.0552,0.234,0.112,0.0467,0.902,167.06,190627
5791,spotify:track:3jYRpwbctfqB77uU7T7K3U,11,Caught Up In You,1/1/1982,65,FALSE,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,279333
5794,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,12,Love Me Again,1/1/2013,65,FALSE,0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,239894
5796,spotify:track:5N4erncE7kuUccm7zEmwzk,73,Electricity (with Dua Lipa),9/6/2018,77,FALSE,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33E-06,0.338,0.505,118.159,238173
5798,spotify:track:4mEILaBM7bKZqKAun5tABu,22,When We Were Young,5/11/2018,68,FALSE,0.547,0.789,8,-5.619,1,0.042,0.00871,0,0.1,0.345,129.916,193911
5803,spotify:track:3GJjiToqnCxTm5rOaqoxdi,10,Chasing Highs,3/23/2017,61,FALSE,0.792,0.775,2,-4.575,0,0.0532,0.271,1.55E-05,0.406,0.521,111.957,195678
5804,spotify:track:5kgqTe1BM720OjU78TGYDw,15,Tell Me You Love Me,9/15/2017,60,FALSE,0.762,0.797,5,-2.71,1,0.135,0.117,0,0.202,0.525,122.066,190400
5805,spotify:track:0lchLc0vSyRRqKSPIkFtJI,28,Superlove (feat. Oh Wonder),11/9/2018,65,FALSE,0.578,0.491,11,-8.544,0,0.21,0.203,0.000378,0.182,0.64,98.273,184814
5816,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,530,Sunday Best,1/6/2019,91,FALSE,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571
5817,spotify:track:35MKhw2YBKApmD7fAnPERC,33,Faith (with Dolly Parton) [feat. Mr. Probz],10/25/2019,75,FALSE,0.547,0.795,8,-3.721,1,0.0489,0.145,0,0.11,0.723,118.118,186805
5818,spotify:track:4v0CuFW0bEMBQ1gRn2mB3X,11,Sit Next to Me - Stereotypes Remix,2/23/2018,60,FALSE,0.68,0.738,6,-4.881,0,0.0331,0.173,0.00036,0.37,0.675,105.015,190720
5819,spotify:track:4DAaQ5InUO23d8yNRbB0Yj,57,6's to 9's (feat. Rationale),2/1/2019,66,FALSE,0.714,0.663,8,-5.799,1,0.0694,0.145,0,0.264,0.64,95.497,206073
5820,spotify:track:5r5cp9IpziiIsR6b93vcnQ,67,Walking On A Dream,10/3/2008,75,FALSE,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52E-06,0.0589,0.716,126.975,198440
5821,spotify:track:3iCO0ZekWPK6rmLnDjejLB,18,Baianá,10/31/2019,61,FALSE,0.564,0.723,2,-6.983,0,0.0702,0.000741,0.672,0.543,0.466,121.97,180843
5822,spotify:track:5WBnKCEsPwsvWHUZmLjS3s,16,Alive,1/1/2013,62,FALSE,0.524,0.885,5,-3.079,1,0.037,0.0997,0,0.0708,0.395,119.954,204591
5823,spotify:track:2Q7PDjPz7h559wBF97lO07,12,High And Low,10/28/2016,58,FALSE,0.512,0.768,1,-4.673,1,0.045,0.0213,3.20E-06,0.0918,0.322,126.907,224840
5824,spotify:track:6aBUnkXuCEQQHAlTokv9or,64,This Must Be the Place (Naive Melody) - 2005 Remaster,5/31/1983,70,FALSE,0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443,296147
5825,spotify:track:7yHqOZfsXYlicyoMt62yC6,53,Heaven Falls / Fall on Me,8/24/2018,71,FALSE,0.563,0.366,11,-6.896,0,0.121,0.36,0.00243,0.0955,0.768,85.352,240597
5828,spotify:track:0aersVHlGGXcHeRvHtuaSt,17,Dancing On Glass,1/29/2016,59,FALSE,0.564,0.945,1,-4.705,1,0.0493,0.0189,0,0.359,0.399,101.003,246333
