,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
55,spotify:track:4W8kRoExIlgYJLahiHY2No,13,Keep Your Hands Off My Girl,11/12/2010,37,FALSE,0.598,0.951,1,-3.7,1,0.138,0.0145,0,0.586,0.638,137.917,203947
57,spotify:track:1JyFfLj000cY275h9reTHP,18,Burnin' Up,1/1/2009,34,FALSE,0.669,0.943,2,-4.125,1,0.073,0.0282,0,0.447,0.857,114.014,173987
58,spotify:track:2k2Nwz0FLUIKl7UyavRhjx,28,Caught a Lite Sneeze - 2016 Remaster,1/22/1996,42,FALSE,0.6,0.772,5,-8.483,0,0.0444,0.37,4.46E-06,0.0641,0.921,79.059,265213
59,spotify:track:1B75hgRqe7A4fwee3g3Wmu,325,U Can't Touch This,2/20/1990,73,FALSE,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360
60,spotify:track:174rZBKJAqD10VBnOjlQQ3,35,How Do I Breathe,12/11/2007,69,FALSE,0.684,0.455,5,-8.216,1,0.0307,0.215,1.08E-06,0.263,0.487,97.956,216893
61,spotify:track:7EQGXaVSyEDsCWKmUcfpLk,108,Die Young,11/30/2012,76,FALSE,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920
62,spotify:track:00BHe2yBtdOzhKPmI7rpTE,35,Locked Up,1/1/2004,63,TRUE,0.818,0.579,7,-4.475,1,0.101,0.023,0,0.107,0.354,89.987,235067
64,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,168,Every Breath You Take,6/17/1983,83,FALSE,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920
65,spotify:track:4Ouhoi2lAhrLJKFzUqEzwl,25,Born To Die,1/1/2012,68,FALSE,0.428,0.626,4,-6.639,0,0.0339,0.222,8.22E-05,0.277,0.379,86.02,285400
66,spotify:track:4tCtwWceOPWzenK2HAIJSb,214,Work from Home (feat. Ty Dolla $ign),5/27/2016,78,FALSE,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94E-06,0.0644,0.593,105.017,214480
67,spotify:track:6zcewyuB1rZPbqvqidGXMQ,16,Between Two Lungs,2009,48,FALSE,0.547,0.415,0,-6.429,1,0.0491,0.222,5.11E-06,0.126,0.481,149.96,249240
68,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,108,I Feel It Coming,11/25/2016,80,FALSE,0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,269187
69,spotify:track:2takcwOaAZWiXQijPHIx7B,57,Time Is Running Out,3/23/2004,67,FALSE,0.585,0.842,9,-5.883,0,0.0556,0.00242,0.00686,0.0866,0.428,118.211,237040
70,spotify:track:3CJvmtWw2bJsudbAC5uCQk,49,Hands To Myself,10/9/2015,68,FALSE,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44E-06,0.342,0.466,111.016,200680
72,spotify:track:6brl7bwOHmGFkNw3MBqssT,112,So Sick,1/1/2006,77,FALSE,0.452,0.574,6,-8.336,1,0.31,0.246,0,0.189,0.58,92.791,207187
73,spotify:track:3p02ss31ywBaZcqh7Vq9sx,14,Time To Say Goodbye (Con Te Partirò),1/1/2006,59,FALSE,0.294,0.435,7,-6.747,1,0.0309,0.907,0.00182,0.101,0.445,105.391,246480
74,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,106,Another One Bites The Dust - Remastered 2011,6/27/1980,81,FALSE,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,214653
75,spotify:track:1icygp76kVbs429RikF0jJ,88,You Make Me Sick - Radio Mix,4/4/2000,52,FALSE,0.77,0.686,11,-6.596,0,0.168,0.00223,2.03E-06,0.347,0.657,100.53,247533
76,spotify:track:5JHNg1hxZFT7TDEphhM4wj,17,Waiting for the End,9/10/2010,63,FALSE,0.487,0.961,4,-4.139,1,0.132,0.0415,1.15E-06,0.553,0.323,170.005,231680
78,spotify:track:4vqHz44pzFSfDNIE20QRBu,52,Catch My Disease,2/22/2005,58,FALSE,0.756,0.73,11,-5.292,1,0.032,0.0224,1.24E-05,0.139,0.917,115.977,254107
79,spotify:track:1NHwvBmrUje4L1dxfWnXCH,26,Put Your Hands Where My Eyes Could See,1997,61,TRUE,0.906,0.623,1,-6.711,0,0.303,0.00864,4.19E-06,0.0753,0.715,99.498,194293
80,spotify:track:4SSnFejRGlZikf02HLewEF,105,bury a friend,3/29/2019,81,FALSE,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143
81,spotify:track:4EchqUKQ3qAQuRNKmeIpnf,64,The Kids Aren't Alright,11/16/1998,76,FALSE,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81E-05,0.0579,0.766,99.607,180160
83,spotify:track:2lE7oRoKssULAtbWViL385,33,Hand in My Pocket - 2015 Remaster,1995,66,FALSE,0.657,0.655,0,-8.3,1,0.0248,0.135,0.00303,0.102,0.668,92.259,222013
84,spotify:track:4Zfq7r0v4FKeoxwhyLYSyb,24,Evacuate the Dancefloor,4/27/2012,27,FALSE,0.76,0.696,0,-5.811,1,0.0491,0.0195,0,0.278,0.903,127.029,205884
85,spotify:track:0xMbfVm5z0Q1VdnYvox460,90,Contagious,4/17/2007,46,FALSE,0.445,0.905,1,-3.537,1,0.0463,0.000429,0,0.324,0.443,157.945,129067
88,spotify:track:2dDJlopT6lNNuX9vsG3RtV,17,Temperature,2/28/2020,25,FALSE,0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,218573
90,spotify:track:7kAYyzVhWr3nSqAC7CUOWK,19,Catch My Breath,10/15/2012,50,FALSE,0.691,0.946,9,-3.221,1,0.0678,0.0259,0,0.0897,0.517,124.021,251507
91,spotify:track:6I5cQVYvoc5dqpyYvYHpSw,21,Cough Cough,1/14/2013,43,FALSE,0.566,0.869,11,-5.532,0,0.0479,0.0588,2.69E-05,0.217,0.729,127.011,222387
92,spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,340,It's The End Of The World As We Know It (And I Feel Fine),9/1/1987,69,FALSE,0.381,0.894,7,-8.638,1,0.037,0.0258,0,0.0251,0.797,205.528,246933
93,spotify:track:4S4Mfvv03M1cHgIOJcbUCL,144,In My Room,11/2/2019,78,TRUE,0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,133680
94,spotify:track:2q4rjDy9WhaN3o9MvDbO21,105,Kiss Me Thru The Phone,1/1/2008,76,TRUE,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387
95,spotify:track:5OQGeJ1ceykovrykZsGhqL,72,Breathless,1/1/2000,68,FALSE,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.80E-05,0.269,0.768,126.988,207507
96,spotify:track:0x4GSz5C4XZDkNhFswGboC,41,I WILL SURVIVE,7/27/2010,60,FALSE,0.772,0.794,9,-9.208,0,0.0632,0.126,0.000547,0.322,0.638,116.959,197413
98,spotify:track:6Knv6wdA0luoMUuuoYi2i1,89,My House,4/7/2015,77,FALSE,0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.74,94.006,192191
99,spotify:track:1kxeWHF9PrCVZHvVskv8lg,67,Love Lockdown,1/1/2008,67,FALSE,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,270307
100,spotify:track:7u6DMPznGbpziuEgCE0JGQ,40,get well soon,8/17/2018,65,TRUE,0.604,0.449,9,-6.564,0,0.0353,0.657,0,0.0932,0.528,100.355,322027
101,spotify:track:70ATm56tH7OrQ1zurYssz0,100,I Need A Doctor,2/1/2011,70,TRUE,0.594,0.946,3,-4.521,1,0.452,0.0869,0,0.306,0.397,155.826,283733
102,spotify:track:2a2MbiJN2skOxohykOVcss,16,Solitude Is Bliss,5/21/2010,56,FALSE,0.588,0.849,4,-5.027,0,0.0596,0.00811,0.000161,0.131,0.629,104.012,235867
103,spotify:track:6aqNCrRA7vs7v6QvRpI50t,36,Dancing On My Own,1/1/2010,65,FALSE,0.674,0.857,6,-5.328,1,0.0346,0.0557,0.196,0.0942,0.278,117.028,285854
104,spotify:track:3ZffCQKLFLUvYM59XKLbVm,91,Wake Me up When September Ends,9/21/2004,76,FALSE,0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,285653
106,spotify:track:6xZ4Q2k2ompmDppyeESIY8,291,Level of Concern,4/9/2020,82,FALSE,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.144,0.77,122.012,220051
107,spotify:track:1WJg8vRU9O799Sp9f77TDG,124,Time To Get Ill,11/15/1986,47,FALSE,0.874,0.608,6,-9.763,0,0.333,0.00136,2.03E-05,0.331,0.392,97.806,219573
108,spotify:track:2ccbe5iaxL2r4KHgmWoCJf,17,Emergency Room,9/20/2019,25,FALSE,0.663,0.272,6,-11.663,1,0.0333,0.676,0,0.191,0.435,98,216502
282,spotify:track:1EOcezY4qMN1ScTRJdTrC0,50,QUARANTINE CLEAN,4/2/2020,64,TRUE,0.787,0.518,6,-8.084,0,0.268,0.541,0,0.132,0.327,91.344,217728
283,spotify:track:7woW97CfcWaKtuC6W5BP2K,51,Heal the World,11/13/1991,69,FALSE,0.534,0.485,9,-8.045,1,0.0467,0.537,1.79E-06,0.104,0.102,80.923,384307
293,spotify:track:77UjLW8j5UAGAGVGhR5oUK,84,Pray For Me (with Kendrick Lamar),2/9/2018,75,TRUE,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17E-05,0.111,0.188,100.584,211440
294,spotify:track:2Gnsof1hvZzjE1xdLRpjtf,13,Over My Dead Body,11/15/2011,60,TRUE,0.489,0.57,1,-10.291,1,0.306,0.759,2.10E-06,0.179,0.584,185.516,272573
297,spotify:track:0zLClc0emc6qUeV1p5nc99,37,No More Parties In LA,6/10/2016,67,TRUE,0.508,0.921,5,-1.644,1,0.303,0.246,0,0.221,0.681,93.058,374413
298,spotify:track:58kZ9spgxmlEznXGu6FPdQ,51,Sick Boy,12/14/2018,72,FALSE,0.663,0.577,11,-7.518,0,0.0531,0.109,0,0.12,0.454,89.996,193200
303,spotify:track:1mohfLaTJtB2RplHLQVM70,115,La Jeepeta - Remix,4/24/2020,93,TRUE,0.815,0.715,4,-4.65,0,0.207,0.3,4.83E-06,0.091,0.786,176.007,345241
304,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,90,UN DIA (ONE DAY) (Feat. Tainy),7/24/2020,86,FALSE,0.571,0.693,6,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169,232253
306,spotify:track:1pqnQ41XbfKjaFu6M0eGJp,84,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",7/9/2020,89,FALSE,0.76,0.658,7,-5.275,1,0.275,0.162,0,0.195,0.565,100.202,157944
308,spotify:track:0aCTSZQTlmnjQucALTF00s,37,Tak Tiki Tak,7/5/2019,69,TRUE,0.802,0.579,11,-4.78,0,0.0869,0.335,0.000311,0.173,0.234,99.992,212406
